id,referencia,marca,capacidad,ciudad,responsable
22,ACH03,SAMSUNG,1051,Saragoza,Romulo
9537,ACH01,SAMSUNG,1139,Cali,Romulo
5405,ACH02,KALLEY,1283,Saragoza,Sacarias
3176,ACH03,SONY,690,Bucaramanga,Armando
4159,ACH01,SAMSUNG,1357,Cali,Armando
5039,ACH02,SAMSUNG,1860,Bucaramanga,Armando
4117,ACH01,SONY,1776,Cali,Benavides
6584,ACH02,KALLEY,157,Bogota,Benavides
4913,ACH03,SAMSUNG,1970,Bucaramanga,Sacarias
1418,ACH02,KALLEY,1212,Saragoza,Ortencio
518,ACH02,SAMSUNG,992,Saragoza,Romulo
3203,ACH01,SAMSUNG,1585,Titiribi,Ortencio
1285,ACH01,SAMSUNG,1182,Bucaramanga,Romulo
3592,ACH03,SAMSUNG,1375,Saragoza,Ortencio
3151,ACH02,KALLEY,1429,Bogota,Armando
8862,ACH02,SAMSUNG,829,Cali,Romulo
8314,ACH01,SONY,1716,Cali,Benavides
2229,ACH01,SONY,1796,Saragoza,Benavides
4622,ACH03,SONY,1658,Saragoza,Benavides
6963,ACH02,SAMSUNG,1971,Saragoza,Ortencio
5588,ACH02,SONY,1506,Cali,Armando
8768,ACH01,SONY,1690,Titiribi,Benavides
3646,ACH03,KALLEY,395,Titiribi,Sacarias
5457,ACH02,SAMSUNG,1670,Titiribi,Sacarias
6379,ACH01,KALLEY,749,Cali,Benavides
2980,ACH03,SONY,1074,Cali,Armando
5198,ACH01,KALLEY,810,Titiribi,Armando
5031,ACH02,SONY,871,Bucaramanga,Romulo
9645,ACH01,SONY,733,Saragoza,Sacarias
8429,ACH01,SONY,657,Cali,Ortencio
2,ACH03,SONY,799,Cali,Benavides
9995,ACH02,KALLEY,1422,Bogota,Armando
3739,ACH01,SONY,686,Bucaramanga,Romulo
8089,ACH02,SONY,500,Saragoza,Romulo
4902,ACH03,SONY,397,Bucaramanga,Benavides
5710,ACH01,SAMSUNG,1496,Cali,Sacarias
9792,ACH03,SONY,1360,Bucaramanga,Sacarias
8813,ACH03,SAMSUNG,253,Bogota,Romulo
1140,ACH03,SAMSUNG,1200,Titiribi,Sacarias
6587,ACH02,SAMSUNG,441,Bogota,Armando
4599,ACH01,KALLEY,463,Cali,Sacarias
819,ACH03,KALLEY,1717,Saragoza,Benavides
637,ACH02,SAMSUNG,789,Bogota,Armando
9487,ACH01,SAMSUNG,1596,Bucaramanga,Sacarias
4963,ACH03,KALLEY,547,Cali,Ortencio
5718,ACH01,SONY,1252,Bogota,Benavides
2157,ACH03,SAMSUNG,1734,Saragoza,Sacarias
5966,ACH03,SONY,746,Saragoza,Armando
6328,ACH02,KALLEY,1992,Saragoza,Armando
2417,ACH03,KALLEY,1501,Bucaramanga,Benavides
2629,ACH03,KALLEY,1640,Bogota,Benavides
804,ACH01,SONY,811,Bogota,Romulo
1987,ACH02,KALLEY,612,Saragoza,Benavides
303,ACH02,SONY,1582,Saragoza,Armando
9261,ACH02,KALLEY,1527,Titiribi,Armando
9484,ACH01,SAMSUNG,1635,Cali,Benavides
5114,ACH01,SONY,1813,Bogota,Ortencio
7764,ACH03,SAMSUNG,278,Titiribi,Romulo
3190,ACH01,SONY,1168,Bucaramanga,Armando
4711,ACH01,SONY,553,Bogota,Ortencio
